t # 0
25 38 25
v 0 2
v 1 4
v 2 5
v 3 6
v 4 2
v 5 2
v 6 7
v 7 2
v 8 2
v 9 3
v 10 3
v 11 3
v 12 3
v 13 3
v 14 0
v 15 0
v 16 8
v 17 0
v 18 9
v 19 0
v 20 1
v 21 1
v 22 1
v 23 1
v 24 1
e 3 6 1
e 1 3 1
e 2 3 1
e 3 4 1
e 4 0 1
e 5 0 1
e 7 0 1
e 8 0 1
e 7 9 1
e 9 10 1
e 13 10 1
e 11 10 1
e 10 12 1
e 12 15 1
e 14 15 1
e 13 14 1
e 13 19 1
e 14 17 1
e 14 24 1
e 19 24 1
e 19 20 1
e 18 20 1
e 20 21 1
e 21 22 1
e 22 23 1
e 23 24 1
e 24 7 1
e 17 18 1
e 18 19 1
e 19 15 1
e 15 16 1
e 16 17 1
e 18 16 1
e 18 15 1
e 19 17 1
e 19 16 1
e 17 15 1
e 19 14 1
t # -1
